size,dropped,RMSE,RMSE_sd,NASA,R2,rho_RUL,min_leaf_R2,min_leaf_R2_sd,mean_leaf_R2
10,(full set),9.530727580732941,0.7418549606920956,1.373564327336754,0.7142699128312416,0.9058498732974333,0.17384954380028736,0.012146912552688021,0.4404904245339069
9,HPC.hpc_eff,8.85100615222003,0.281944619585643,1.1721879707233882,0.7548080279426705,0.9202966002680354,0.17384954380028736,0.012146912552688021,0.4223645247539591
8,LPC.lpc_eff,8.754131907629045,0.21301494225210255,1.1413590407995249,0.76024716951749,0.9212301996422446,0.2436714384201485,0.05488304738667871,0.453428897373168
7,fan.fan_flow,8.615991706370325,0.16413985601512474,1.106210295595679,0.7678072613551655,0.9229187386313397,0.2531001875185499,0.056185818564981595,0.47753857240143577
6,LPT.lpt_flow,8.524320653335465,0.1476334144191742,1.0862991297790268,0.7727361787802046,0.9247180816965072,0.2531001875185499,0.056185818564981595,0.485081831119541
5,HPT.hpt_flow,8.766491451959025,0.21116939132413812,1.1328635374300517,0.7595725488813952,0.9147774054885497,0.2531001875185499,0.056185818564981595,0.46669347473810285
