size,dropped,RMSE,RMSE_sd,NASA,R2,rho_RUL,min_leaf_R2,min_leaf_R2_sd,mean_leaf_R2
10,(full set),9.530727580732941,0.7418549606920956,1.373564327336754,0.7142699128312416,0.9058498732974333,0.17384954380028736,0.012146912552688021,0.4404904245339069
9,HPC.hpc_eff,8.85100615222003,0.281944619585643,1.1721879707233882,0.7548080279426705,0.9202966002680354,0.17384954380028736,0.012146912552688021,0.4223645247539591
8,LPC.lpc_eff,8.754131907629045,0.21301494225210255,1.1413590407995249,0.76024716951749,0.9212301996422446,0.2436714384201485,0.05488304738667871,0.453428897373168
7,fan.fan_flow,8.615991706370325,0.16413985601512474,1.106210295595679,0.7678072613551655,0.9229187386313397,0.2531001875185499,0.056185818564981595,0.47753857240143577
6,LPT.lpt_flow,8.524320653335465,0.1476334144191742,1.0862991297790268,0.7727361787802046,0.9247180816965072,0.2531001875185499,0.056185818564981595,0.485081831119541
5,HPT.hpt_flow,8.766491451959025,0.21116939132413812,1.1328635374300517,0.7595725488813952,0.9147774054885497,0.2531001875185499,0.056185818564981595,0.46669347473810285
9,HPC.hpc_eff,8.85100615222003,0.281944619585643,1.1721879707233882,0.7548080279426705,0.9202966002680354,0.17384954380028736,0.012146912552688021,0.4223645247539591
9,HPC.hpc_flow,8.921227858120233,0.3332946023972021,1.2085174743956628,0.7508071892843282,0.923114578991013,0.17384954380028736,0.012146912552688021,0.43229099700684337
9,HPT.hpt_eff,10.443686258936795,1.1181020898983367,1.6437711238803894,0.655064694878784,0.8562942560686722,0.17384954380028736,0.012146912552688021,0.4105066314295296
9,HPT.hpt_flow,9.009837702286646,0.4132375157968219,1.2159231196001723,0.7456527393045637,0.9156397746099373,0.17384954380028736,0.012146912552688021,0.42532007025692636
9,LPC.lpc_eff,9.46175826850728,0.6877097335528544,1.3550527417256786,0.7186075354176155,0.9031555448328827,0.2436714384201485,0.05488304738667871,0.4701171890598646
9,LPC.lpc_flow,9.466604032043584,0.6120958367340604,1.3397964817664356,0.7186280494153617,0.904308075617361,0.17384954380028736,0.012146912552688021,0.4445415332201829
9,LPT.lpt_eff,9.460951382934148,0.6733377777094637,1.3542429135380736,0.7187164349957019,0.9015962559188067,0.17384954380028736,0.012146912552688021,0.43924414891947866
9,LPT.lpt_flow,9.455213757081603,0.6899298764499098,1.3463692629060875,0.718985060037674,0.9036103684648239,0.17384954380028736,0.012146912552688021,0.4414028028051405
9,fan.fan_eff,9.4490256431413,0.6300991047279906,1.3398018417127304,0.7195977599233455,0.9049707236688601,0.17384954380028736,0.012146912552688021,0.4613115619800576
9,fan.fan_flow,9.44012550138658,0.6558895309138615,1.3448910837982142,0.7200197023129551,0.9045077906064721,0.17384954380028736,0.012146912552688021,0.4578047859070861
8,HPT.hpt_eff,10.904108456654855,1.115194088246743,1.7953250642059067,0.6243530751587792,0.8330454761242024,0.17384954380028736,0.012146912552688021,0.38636702003904116
8,HPT.hpt_flow,9.212596535148352,0.3138542276103011,1.2521502877791129,0.7343264214997712,0.9049689418483138,0.17384954380028736,0.012146912552688021,0.4030321387198625
8,LPC.lpc_eff,8.754131907629045,0.21301494225210255,1.1413590407995249,0.76024716951749,0.9212301996422446,0.2436714384201485,0.05488304738667871,0.453428897373168
8,LPC.lpc_flow,8.804253375132868,0.20808872193064815,1.1520386965384672,0.7575020330995716,0.9211661124602536,0.17384954380028736,0.012146912552688021,0.42465628455352616
8,LPT.lpt_eff,8.843464182325205,0.2635191010515705,1.1651388230493995,0.7552567085391925,0.9193507596525888,0.17384954380028736,0.012146912552688021,0.4186967272152337
8,LPT.lpt_flow,8.817011017629317,0.2708007672806013,1.1600935691157153,0.7567052418213226,0.9208496459179338,0.17384954380028736,0.012146912552688021,0.4211252128366034
8,fan.fan_eff,8.807313129026332,0.23087178132151084,1.1561794442037616,0.7573022773599654,0.920659879793333,0.17384954380028736,0.012146912552688021,0.44352256690838515
8,fan.fan_flow,8.784129234876657,0.21827288844932097,1.1435532584381563,0.7585951409975845,0.9211475641160828,0.17384954380028736,0.012146912552688021,0.4395774438262922
7,HPT.hpt_eff,10.439852675817614,0.9738587523877524,1.6315471463172617,0.6562584851174093,0.8474215039899136,0.2436714384201485,0.05488304738667871,0.4167266595017203
7,HPT.hpt_flow,9.063281514267851,0.27158855291517314,1.200906628374339,0.7429360120375051,0.9070626028071028,0.2436714384201485,0.05488304738667871,0.43577250942265894
7,LPT.lpt_eff,8.732528822890218,0.20327789417769826,1.1349620364423456,0.7614409881485544,0.9183381629974899,0.2436714384201485,0.05488304738667871,0.4536748962745117
7,LPT.lpt_flow,8.68837392766723,0.1913972231807294,1.128634050324026,0.7638607317794195,0.9214569190468348,0.2436714384201485,0.05488304738667871,0.45645030841321993
7,fan.fan_eff,8.619497306113958,0.1546940958965785,1.1008568048597656,0.7676277626930025,0.9235422094442013,0.2846611721752939,0.031113228905975277,0.48204728449525636
7,fan.fan_flow,8.615991706370325,0.16413985601512474,1.106210295595679,0.7678072613551655,0.9229187386313397,0.2531001875185499,0.056185818564981595,0.47753857240143577
6,HPT.hpt_eff,9.952791000835655,0.717136221221072,1.4642257725737167,0.6886712810543276,0.8637433727878974,0.2531001875185499,0.056185818564981595,0.4387375740561246
6,HPT.hpt_flow,8.90052620959161,0.2757935042920802,1.167414253728767,0.7520702435456009,0.9105310079275822,0.2531001875185499,0.056185818564981595,0.46095773229721976
6,LPT.lpt_eff,8.5801414466945,0.09683901326437462,1.0874277681325262,0.7697897192176374,0.9204445144601959,0.2531001875185499,0.056185818564981595,0.48184385029104804
6,LPT.lpt_flow,8.524320653335465,0.1476334144191742,1.0862991297790268,0.7727361787802046,0.9247180816965072,0.2531001875185499,0.056185818564981595,0.485081831119541
5,HPT.hpt_eff,9.993179858005865,0.7988404829763317,1.4847572224784555,0.6857651869337614,0.8632841504168458,0.2531001875185499,0.056185818564981595,0.4400292848487888
5,HPT.hpt_flow,8.766491451959025,0.21116939132413812,1.1328635374300517,0.7595725488813952,0.9147774054885497,0.2531001875185499,0.056185818564981595,0.46669347473810285
