target,component,shaft,sensors,rho,spec,spec_xshaft,n_deg,n_heal,n_xheal
fan_eff_mod,fan,LP,Wf+Nf+Nc,0.163956986018466,-0.1757858628013842,-0.2691200064454944,262,535,450
fan_eff_mod,fan,LP,Wf+Nf+T24,0.014023418103198904,-0.21635737757152151,-0.2418337350095663,262,535,450
fan_eff_mod,fan,LP,Wf+Nf+T30,0.24453855124975538,0.06931245854021695,-0.04655803505448142,262,535,450
fan_eff_mod,fan,LP,Wf+Nf+T48,0.29378388018788704,0.03090991871556914,-0.02195004032544423,262,535,450
fan_eff_mod,fan,LP,Wf+Nf+T50,0.5983444562059974,0.2331804955330512,0.1920682817859778,262,535,450
fan_eff_mod,fan,LP,Wf+Nf+P15,0.16664087750493886,0.1327953659930765,0.12231491182923981,262,535,450
fan_eff_mod,fan,LP,Wf+Nf+P21,0.2546842722455961,-0.03191512553527498,-0.1349194686012336,262,535,450
fan_eff_mod,fan,LP,Wf+Nf+P24,0.06367896711516208,-0.36592053424007553,-0.5046040273590118,262,535,450
fan_eff_mod,fan,LP,Wf+Nf+Ps30,0.10275214436034427,-0.5318455192397038,-0.6185964473759247,262,535,450
fan_eff_mod,fan,LP,Wf+Nf+P40,0.24815754869550255,-0.21580760368889407,-0.3390253513101156,262,535,450
fan_eff_mod,fan,LP,Wf+Nf+P50,-0.023281130494422507,-0.11500749879226047,-0.17215497196612506,262,535,450
fan_eff_mod,fan,LP,Wf+Nc+T24,0.4218720479136324,0.10394194510451582,0.1036252209557087,262,535,450
fan_eff_mod,fan,LP,Wf+Nc+T30,0.11839801528959765,0.23156271441975307,0.1336391871734256,262,535,450
fan_eff_mod,fan,LP,Wf+Nc+T48,0.19896051902095158,0.3301173394106697,0.2955658178274011,262,535,450
fan_eff_mod,fan,LP,Wf+Nc+T50,-0.03613775805830524,0.22823321891280612,0.2224653454317742,262,535,450
fan_eff_mod,fan,LP,Wf+Nc+P15,-0.0029105720466196805,0.05334201235595637,-0.011600516904093139,262,535,450
fan_eff_mod,fan,LP,Wf+Nc+P21,-0.002897461250727637,0.05351637361540529,-0.011414194132346456,262,535,450
fan_eff_mod,fan,LP,Wf+Nc+P24,0.2023511905162157,-0.22027895062078806,-0.2937838343490038,262,535,450
