arm,RMSE,RMSE_sd,NASA,R2,rho_RUL,min_leaf_R2,min_leaf_R2_sd,mean_leaf_R2
shaft-coupled,20.4908,1.2959,9.3127,-0.318,0.7709,-0.0311,0.0283,0.1004
station-coupled,17.7803,1.3667,6.5515,0.0057,0.8001,-0.0015,0.04,0.1156
shaft-decoupled,8.8641,0.433,1.1835,0.7537,0.9228,0.1738,0.0121,0.4405
station-decoupled,8.7521,0.3539,1.144,0.7601,0.9185,0.1738,0.0121,0.4405
