split,unit,rmse,age_rmse,leak_peak,diagnosable,ds,failure_mode
0,1005,11.567452106837935,13.509507320320498,1.0,True,DS01-005,HPT
0,2010,9.844090457843723,7.995795684054865,1.0,True,DS02-006,HPT+LPT
0,3003,8.39663882890454,6.1145718841497345,1.0,True,DS03-012,HPT+LPT
0,3012,14.574127190698034,16.381271366871964,1.0,True,DS03-012,HPT+LPT
0,4001,15.295806921920512,12.000228370467672,1.0,False,DS04,fan
0,4002,17.767905877944738,0.15602813186240616,1.0,False,DS04,fan
0,4003,21.37468499653817,20.97363568157587,1.0,False,DS04,fan
0,4004,19.67115350948845,4.119246619438562,1.0,False,DS04,fan
0,4005,12.065044575382673,20.97363568157587,1.0,False,DS04,fan
0,4006,15.132216838054797,8.824286265479211,1.0,False,DS04,fan
0,4007,11.806860235778133,12.000228370467672,1.0,False,DS04,fan
0,4008,16.32181241588065,20.349313388714144,1.0,False,DS04,fan
0,4009,17.801245310660512,0.15602813186240616,1.0,False,DS04,fan
0,4010,13.260509567993765,10.439249601675934,1.0,False,DS04,fan
0,5001,9.372107728641465,6.295156388161177,1.0,False,DS05,HPC
0,5002,7.420380149705532,6.295156388161177,1.0,False,DS05,HPC
0,5003,10.157326978540006,8.111374623485073,1.0,False,DS05,HPC
0,5004,10.983440603769084,20.349313388714144,1.0,False,DS05,HPC
0,5005,12.432422021919592,20.97363568157587,1.0,False,DS05,HPC
0,5006,10.233714546071361,6.1145718841497345,1.0,False,DS05,HPC
0,5007,10.863755753766833,10.439249601675934,1.0,False,DS05,HPC
0,5008,9.50740438562515,14.969201392803804,1.0,False,DS05,HPC
0,5009,7.834652176143459,4.119246619438562,1.0,False,DS05,HPC
0,5010,7.8981617062767375,7.995795684054865,1.0,False,DS05,HPC
0,6001,9.385715870383045,4.533957824762285,1.0,False,DS06,HPC+LPC
0,6002,6.776144719436502,4.533957824762285,1.0,False,DS06,HPC+LPC
0,6003,9.419416595205742,8.111374623485073,1.0,False,DS06,HPC+LPC
0,6004,8.998982319215797,12.000228370467672,1.0,False,DS06,HPC+LPC
0,6005,12.18697882250323,20.349313388714144,1.0,False,DS06,HPC+LPC
0,6006,8.752602411819515,5.116609292042927,1.0,False,DS06,HPC+LPC
0,6007,10.027407540518727,6.295156388161177,1.0,False,DS06,HPC+LPC
0,6008,9.856436641258602,14.969201392803804,1.0,False,DS06,HPC+LPC
0,6009,7.24756888057579,4.119246619438562,1.0,False,DS06,HPC+LPC
0,6010,7.7240596633833345,7.995795684054865,1.0,False,DS06,HPC+LPC
0,7010,8.098323018475844,12.000228370467672,1.0,True,DS07,LPT
0,8007,5.351149353321126,5.116609292042927,1.0,True,DS08a-009,HPC+HPT+LPC+LPT+fan
0,8008,5.095515273339498,8.111374623485073,1.0,True,DS08a-009,HPC+HPT+LPC+LPT+fan
0,9009,7.447060133501812,14.103888989606121,1.0,True,DS08c-008,HPC+HPT+LPC+LPT+fan
1,1009,7.408888481919605,5.49906092155774,1.0,True,DS01-005,HPT
1,2005,10.345931635503197,12.789539197947517,1.0,True,DS02-006,HPT+LPT
1,3001,5.993695659516185,1.9982108864335586,1.0,True,DS03-012,HPT+LPT
1,3003,7.225742141480448,6.961267485635186,1.0,True,DS03-012,HPT+LPT
1,4001,12.675738894915781,11.264104949000222,1.0,False,DS04,fan
1,4002,18.821424814258805,1.0161023952716388,1.0,False,DS04,fan
1,4003,18.764811275357733,20.33615852376004,1.0,False,DS04,fan
1,4004,21.014790990380014,4.969346374248718,1.0,False,DS04,fan
1,4005,12.461386587884665,20.33615852376004,1.0,False,DS04,fan
1,4006,13.388100743508163,8.05458818560455,1.0,False,DS04,fan
1,4007,9.25312409609101,11.264104949000222,1.0,False,DS04,fan
1,4008,15.528560854450383,19.70473225131339,1.0,False,DS04,fan
1,4009,16.206467727245283,1.0161023952716388,1.0,False,DS04,fan
1,4010,14.388926504853927,9.686558370339776,1.0,False,DS04,fan
1,5001,8.532741270891687,5.49906092155774,1.0,False,DS05,HPC
1,5002,6.900402303288372,5.49906092155774,1.0,False,DS05,HPC
1,5003,9.584637985615105,8.955457353168617,1.0,False,DS05,HPC
1,5004,10.43643752135038,19.70473225131339,1.0,False,DS05,HPC
1,5005,13.513264587005935,20.33615852376004,1.0,False,DS05,HPC
1,5006,8.225506563126117,6.961267485635186,1.0,False,DS05,HPC
1,5007,9.135254606002622,9.686558370339776,1.0,False,DS05,HPC
1,5008,8.668724628052095,14.265000554501079,1.0,False,DS05,HPC
1,5009,7.022229891683456,4.969346374248718,1.0,False,DS05,HPC
1,5010,6.877341217795167,7.217420620550361,1.0,False,DS05,HPC
1,6001,8.556872776766168,3.7196251440105104,1.0,False,DS06,HPC+LPC
1,6002,6.341450542185419,3.7196251440105104,1.0,False,DS06,HPC+LPC
1,6003,8.879048305964632,8.955457353168617,1.0,False,DS06,HPC+LPC
1,6004,7.902068480378122,11.264104949000222,1.0,False,DS06,HPC+LPC
1,6005,13.68284306328744,19.70473225131339,1.0,False,DS06,HPC+LPC
1,6006,6.928525033522797,5.964870186126431,1.0,False,DS06,HPC+LPC
1,6007,7.912766567293955,5.49906092155774,1.0,False,DS06,HPC+LPC
1,6008,9.21799906679212,14.265000554501079,1.0,False,DS06,HPC+LPC
1,6009,6.383606158292493,4.969346374248718,1.0,False,DS06,HPC+LPC
1,6010,6.658056062821226,7.217420620550361,1.0,False,DS06,HPC+LPC
1,7007,6.911450193653492,3.7196251440105104,1.0,True,DS07,LPT
1,8006,7.4376111924115875,15.939572996295636,1.0,True,DS08a-009,HPC+HPT+LPC+LPT+fan
1,8013,8.248820811477568,17.93517828457633,1.0,True,DS08a-009,HPC+HPT+LPC+LPT+fan
1,9005,13.214830752446314,23.920859318232484,1.0,True,DS08c-008,HPC+HPT+LPC+LPT+fan
2,1003,12.037294697280455,20.805334714513112,1.0,True,DS01-005,HPT
2,2018,7.196460767111123,2.3546216549809373,1.0,True,DS02-006,HPT+LPT
2,3012,14.008244009237513,16.199448233286404,1.0,True,DS03-012,HPT+LPT
2,3015,5.757937003839511,6.337290824089373,1.0,True,DS03-012,HPT+LPT
2,4001,11.401612730140632,11.80593503536476,1.0,False,DS04,fan
2,4002,17.458495440769514,0.3825602949812522,1.0,False,DS04,fan
2,4003,17.24116618540736,20.805334714513112,1.0,False,DS04,fan
2,4004,20.318376549931344,4.342823581705743,1.0,False,DS04,fan
2,4005,10.843268289373876,20.805334714513112,1.0,False,DS04,fan
2,4006,11.570420989136458,8.621144769724541,1.0,False,DS04,fan
2,4007,8.172381505043724,11.80593503536476,1.0,False,DS04,fan
2,4008,14.672295601416645,20.17914074406376,1.0,False,DS04,fan
2,4009,15.44422359021887,0.3825602949812522,1.0,False,DS04,fan
