target,inputs,rho,rho_sd,R2,R2_sd,foil_rho,specificity,is_baseline
HPT_eff_mod,T30+P15+P24,0.4546507189554423,0.07355293112284976,0.3630036448100411,0.22423019634636673,0.15187893157573645,0.30277178737970584,False
HPT_eff_mod,T24+T30+P40,0.496743280632438,0.08554132500864545,0.46288519676890677,0.19243637420515947,0.20888298822382362,0.2878602924086144,False
HPT_eff_mod,T24+P21+P24,0.48428028695712283,0.13404250283229904,0.3501945579167467,0.08019480986203588,0.20879304052141484,0.275487246435708,False
HPT_eff_mod,Nf+T30+P40,0.37003590616912146,0.08746196871392224,0.28136167921578703,0.22875528908765946,0.12005849944485666,0.2499774067242648,False
HPT_eff_mod,T24+T30+P21,0.40343686841047666,0.16693288659944583,0.352125781806803,0.28608117362251323,0.29296878111162294,0.11046808729885371,False
HPT_eff_mod,T48+P40+Nc,0.6061157548190905,0.03501807151031113,0.6456398821220037,0.16206617562837639,0.5349821658343682,0.07113358898472233,True
HPT_flow_mod,T48+P40+Ps30,0.2500080968777303,0.01244950867335989,0.12633839500460192,0.08571512019415259,0.5899199742049237,-0.3399118773271934,True
LPT_eff_mod,Nc+T30+P21,0.5276480990820612,0.08486521880477267,0.06731169807138526,0.23588991728604972,0.5092789107573967,0.018369188324664498,False
LPT_eff_mod,Nc+T30+P24,0.47583921710631694,0.10721793120794566,0.069631763826428,0.27736893629631515,0.5040660922535698,-0.02822687514725286,False
LPT_eff_mod,Nc+T30+P15,0.4779147267741088,0.11085555365533585,0.0694406614397772,0.21586937934434808,0.5269048278751977,-0.04899010110108887,False
LPT_eff_mod,Wf+Nf+P24,0.439604231537853,0.16584865795852216,0.2591377202982798,0.1788409938966375,0.49737721602815543,-0.05777298449030244,False
LPT_eff_mod,T50+P50+Nf,0.5489679711034505,0.07243558995746341,0.4510308521778292,0.1862271531337196,0.6204231947812697,-0.0714552236778192,True
LPT_eff_mod,P15+Ps30+P50,0.24207776787560506,0.1815732950746657,-0.0364524760755313,0.5174168182480319,0.3162481962188253,-0.07417042834322021,False
LPT_flow_mod,Wf+Nf+T24,0.4774398193151317,0.11273560573616592,0.16086728091466387,0.11003826490526498,0.029111392355018317,0.4483284269601134,False
LPT_flow_mod,Wf+T24+Ps30,0.5309463625487076,0.08093148118503703,0.20061514088704255,0.09189847191746776,0.08492696752408199,0.4460193950246256,False
LPT_flow_mod,Wf+T24+P24,0.48195802322023606,0.12031483689319418,0.15765161887119997,0.10941183014884204,0.08201777527592166,0.3999402479443144,False
LPT_flow_mod,T50+P50+P24,0.5884738125540849,0.0374667155044894,0.4420003124797688,0.14077644781322518,0.2122682116465449,0.37620560090754,True
LPT_flow_mod,Wf+T24+P21,0.5087098187467273,0.1332003076004187,0.1535957334300533,0.10419242198772367,0.1331709500620123,0.375538868684715,False
LPT_flow_mod,Wf+T24+P15,0.5097495515880628,0.13321879659451288,0.14873318746650663,0.10001083440761308,0.18533816393483837,0.3244113876532244,False
