RMSE,NASA,R2,model,held_out,age_RMSE,beats_age
8.511650757518133,0.9096310085445425,0.8671640821518632,MLP,DS01-005,13.974300095836714,True
9.413532544586706,1.005404421637667,0.8375225156475277,1D-CNN,DS01-005,13.974300095836714,True
9.864465556648048,1.063612953140131,0.8215834854631698,LSTM,DS01-005,13.974300095836714,True
6.667936950463846,0.7286421602764716,0.9027377823177714,MLP,DS02-006,9.766149496321612,True
7.467883086269711,0.8936193867480215,0.8780010146104413,1D-CNN,DS02-006,9.766149496321612,True
7.526924045753308,0.8913897281721329,0.8760643452168368,LSTM,DS02-006,9.766149496321612,True
8.180654968892561,1.00435683121125,0.8593871238768684,MLP,DS03-012,10.31350926039187,True
8.381881762486376,1.0447659539533853,0.8523844870903603,1D-CNN,DS03-012,10.31350926039187,True
8.673062678377521,1.0259352559269364,0.8419502150325836,LSTM,DS03-012,10.31350926039187,True
24.988138038473256,44.927704870711985,-0.1328204541556539,MLP,DS04,13.04926736396422,False
15.890352644506333,12.001410719498042,0.5418999281370123,1D-CNN,DS04,13.04926736396422,False
13.564700811652136,2.749772135072354,0.6661789431842073,LSTM,DS04,13.04926736396422,False
7.669389577545725,0.821964245688457,0.889576475366563,MLP,DS05,11.836790980368782,True
9.062648467666465,0.9725002284977953,0.8458121060991237,1D-CNN,DS05,11.836790980368782,True
8.577938218383926,0.9307903884657002,0.8618643309785684,LSTM,DS05,11.836790980368782,True
7.854169410559916,0.9065797530906029,0.8806589253359399,MLP,DS06,9.824630438580998,True
10.20569647608276,1.69079488635738,0.7985001574054017,1D-CNN,DS06,9.824630438580998,False
8.483539898578112,0.9098503387147904,0.8607665358389202,LSTM,DS06,9.824630438580998,True
8.415014954896915,1.0028186541354702,0.8612411464469925,MLP,DS07,8.28020526067014,False
9.065063570402899,1.095201769207614,0.838975252527343,1D-CNN,DS07,8.28020526067014,False
10.509101599832379,1.3301038892689196,0.7835876205199719,LSTM,DS07,8.28020526067014,False
10.710764603616834,1.6779573739177345,0.7233808618770099,MLP,DS08a-009,15.306782651296139,True
11.53343442870369,2.2687226967518033,0.6792559740057603,1D-CNN,DS08a-009,15.306782651296139,True
10.928105373337244,1.5486802177049446,0.7120407574823587,LSTM,DS08a-009,15.306782651296139,True
15.757666764701582,4.81384396695115,0.06762331527138321,MLP,DS08c-008,23.41360579639397,True
16.686230717518047,5.459905869767663,-0.045500077398076266,1D-CNN,DS08c-008,23.41360579639397,True
14.437909368300662,3.788364471991505,0.21726238716453028,LSTM,DS08c-008,23.41360579639397,True
