model,n_params,RMSE,MAE,NASA,R2,rho_RUL,HPT_eff_mod:R2,HPT_eff_mod:rho,LPT_flow_mod:R2,LPT_flow_mod:rho,LPT_eff_mod:R2,LPT_eff_mod:rho,age_RMSE
DS01-005,158,12.676154847138331,11.104321234473762,1.6851377533687872,0.7220794123650488,0.9644528632824253,0.48975286040091104,0.9666051542007874,0.0,0.0,0.0,0.0,14.137930551130653
DS02-006,158,8.058324210685017,6.402273888070649,0.8469729277598258,0.8575407553311152,0.9696289330062231,0.725410888706179,0.9748808268135529,0.18757386806018994,0.6310456505193872,0.6779528050771972,0.6462453500870571,9.717647708542636
DS03-012,158,9.213832796494767,7.131954307303584,1.0512996071584095,0.8202477755411284,0.9643524739510755,0.5579738721678342,0.9768245125392975,0.5304417651337727,0.9762797805062378,0.6048664639791335,0.9667379644737875,10.25022736973961
DS04,158,15.150577002152692,12.542532608427278,3.417921004624258,0.5903884365193515,0.8119751267089839,0.0,0.0,0.0,0.0,0.0,0.0,13.104767660807315
DS05,158,9.552595097699317,7.138955859001409,1.0493394242309715,0.8312494349236506,0.9698387359003892,0.0,0.0,0.0,0.0,0.0,0.0,11.88912068066073
DS06,158,9.121918377241094,6.951135863547968,1.0170454696493056,0.8410595535506608,0.9652457960114198,0.0,0.0,0.0,0.0,0.0,0.0,9.866324897033742
DS07,158,10.112353846962595,7.646622903703396,1.1701370253643941,0.8076426955488443,0.9630249177741316,0.0,0.0,-0.04685679650876717,0.9201643870450473,0.3125847195980528,0.9778753935285058,8.338073972754463
DS08a-009,158,9.971346243034624,7.068936247909706,1.8653474875977705,0.758105659770455,0.9447487096427737,0.538358872029336,0.9376873264472928,0.5415132179576032,0.8762482886214134,0.39841629302095327,0.9105104125789648,15.130642252370933
DS08c-008,158,12.444189987115744,10.128573928111674,2.700584107615621,0.41851187950530644,0.9399340067953521,0.5765673365900761,0.9691969468682536,0.32128260210646564,0.8731853440672912,0.6528389104725942,0.9102867350801672,23.18892428427565
