target,inputs,rho,R2,NRMSE,is_baseline
HPT_eff_mod,T30+T48+P24,0.63106515450887,0.718445009551409,0.5306175557297281,False
HPT_eff_mod,T24+T48+P24,0.6309872101430836,0.45384882997377873,0.7390204124557193,False
HPT_eff_mod,Wf+T48+P21,0.6309812596351474,0.438809452746317,0.7491265228609137,False
HPT_eff_mod,Wf+T48+P15,0.6302964822555672,0.43009054504006594,0.7549234762278454,False
HPT_eff_mod,T24+T30+T48,0.6302639135822631,0.7277243064003577,0.5218004346487672,False
HPT_eff_mod,Wf+T48+P24,0.6301224227199952,0.42919155985088076,0.7555186563871996,False
HPT_eff_mod,T48+P15+Ps30,0.6301062977510463,0.42748582713479766,0.7566466631560615,False
HPT_eff_mod,Wf+T24+T50,0.6299160616265226,0.40513170975438095,0.7712770515486761,False
HPT_eff_mod,T48+T50+P50,0.6298628234914394,0.4597965052808095,0.7349853704116774,False
HPT_eff_mod,T48+P15+P21,0.6296527370232649,0.4197050410752555,0.7617709359937177,False
HPT_eff_mod,T48+P24+P50,0.6296299597518888,0.49696127806729085,0.7092522273019024,False
HPT_eff_mod,Wf+T50+P15,0.6295903872734141,0.3930376793433761,0.7790778655927943,False
HPT_eff_mod,T30+T48+P50,0.6295212067360348,0.7670970673957627,0.4826001788273989,False
HPT_eff_mod,Wf+T50+P21,0.6294134520339264,0.41237326229953086,0.7665681559394895,False
HPT_eff_mod,T48+P15+P50,0.6293076055984256,0.5012198366766853,0.7062436996698198,False
HPT_eff_mod,T48+P21+P50,0.629252172045534,0.49572706647630616,0.7101217737287697,False
HPT_eff_mod,T24+T50+P50,0.6292329165396852,0.4497188794580631,0.7418093559277458,False
HPT_eff_mod,T24+T48+P21,0.6292060550704518,0.42378910044821927,0.7590855680038852,False
HPT_eff_mod,T24+T50+P21,0.6290885670171074,0.4357597346377501,0.7511592809532809,False
HPT_eff_mod,Nf+T24+T48,0.6286721416830169,0.42220466797927303,0.7601284970455502,False
HPT_eff_mod,T24+T50+P15,0.628669059319562,0.43489533393988766,0.7517344385220838,False
HPT_eff_mod,T24+T48+P15,0.6285607157688688,0.44769792252004126,0.7431702883457861,False
HPT_eff_mod,Nc+T48+P40,0.6282729551004811,0.7549347215033432,0.49504068367827797,False
HPT_eff_mod,T24+T48+T50,0.6281976521800703,0.44088037269978,0.7477430222343905,False
HPT_eff_mod,T48+P24+P40,0.6281278765417369,0.5343113740576824,0.6824138230885404,False
HPT_eff_mod,T50+P21+P50,0.6280701450764979,0.46002901908756166,0.7348271775815306,False
HPT_eff_mod,T50+P15+P50,0.6280701450764979,0.4599969833701808,0.7348489753886981,False
HPT_eff_mod,T30+T50+Ps30,0.6279607166221365,0.7707639367779554,0.47878603072984977,False
HPT_eff_mod,T48+T50+P40,0.6279386948845848,0.4951642483206916,0.7105179460642134,False
