ds,mode,own_spool,lp_peak,hp_peak,leak
DS01-005,HPT,hp,0.7436900113048392,0.8413403147224123,True
DS04,fan,lp,0.9518669820225985,0.7097241904567554,True
DS05,HPC,hp,0.705994503267826,0.9642690165202238,True
DS07,LPT,lp,0.5618973149228162,0.8306730909585488,True
