component,test_ds,RMSE_with,RMSE_without,delta,verdict
HPT,DS01-005,8.195062055088,10.204474820383096,2.009412765295096,starved/leaked (keep)
fan,DS04,13.32784145027003,13.178349006593233,-0.14949244367679704,redundant (trim)
HPC,DS05,8.795979601640749,8.051228385620572,-0.7447512160201768,redundant (trim)
LPT,DS07,7.828424550378588,9.017394473825291,1.1889699234467033,starved/leaked (keep)
