ds,components,branch_RMSE,branch_NASA,branch_rho_RUL,HPT:rho,LPT:rho,fan:rho,HPC:rho,LPC:rho
DS01-005,HPT,7.3335200180078415,0.8307733969350908,0.9741617708475973,0.9913314321436607,,,,
DS02-006,HPT+LPT,7.268300356777841,0.8754911782828245,0.9589396689067207,0.9324397663005849,0.8953797598254182,,,
DS03-012,HPT+LPT,8.11546826589516,1.0634219289422382,0.9644096883500023,0.9521194311899087,0.8976646929403557,,,
DS04,fan,18.859653560490496,7.492033834782238,0.7349592829436834,,,0.8336065892267508,,
DS05,HPC,12.317811626758655,2.7254976411847527,0.9150100966030046,,,,0.9542960944400749,
DS06,LPC+HPC,9.434955517833828,1.3334534624947372,0.9340009028730879,,,,0.8728481393547677,0.6433592710643525
DS07,LPT,11.423885128304718,2.1651384694980016,0.9269606697645527,,0.9136754809933942,,,
