split,RMSE_mean,RMSE_sd,NASA_mean,NASA_sd,R2_mean,rho_mean
train,8.1297,0.2137,0.9569,0.0456,0.795,0.9587
dev,7.5555,1.5251,0.997,0.3862,0.8114,0.9443
test,8.3849,2.3618,1.51,1.004,0.749,0.9316
ds:DS04,13.6615,0.4889,3.2601,0.2955,0.5117,0.7666
ds:DS05,8.7587,1.1671,1.015,0.2156,0.7951,0.9352
ds:DS06,8.7967,1.5642,1.1346,0.3917,0.7897,0.9183
ds:DS07,8.5454,0.4839,0.9741,0.1093,0.8073,0.9522
