split,RMSE_mean,RMSE_sd,NASA_mean,NASA_sd,R2_mean,rho_mean
train,7.2989,0.1901,0.7993,0.0327,0.8347,0.9671
dev,7.3428,1.2149,0.9154,0.2698,0.8267,0.9655
test,8.6123,2.4532,1.5297,0.9801,0.7318,0.9406
ds:DS04,12.6504,0.3804,2.3608,0.299,0.5813,0.8322
ds:DS05,7.8915,0.8573,0.8721,0.1229,0.8346,0.9445
ds:DS06,7.739,0.7274,0.8703,0.0951,0.8405,0.9457
ds:DS07,8.1558,0.2804,0.8358,0.0466,0.8245,0.9648
