arm,RMSE,RMSE_sd,NASA,R2,rho_RUL,min_leaf_R2,min_leaf_R2_sd,mean_leaf_R2
shaft-coupled,14.685,1.1306,3.9268,0.3217,0.8011,-0.0479,0.0415,0.1109
station-coupled,16.0019,1.6309,4.9392,0.1911,0.7962,-0.0021,0.0233,0.102
shaft-decoupled,8.1358,0.1703,0.9862,0.7929,0.9331,0.1673,0.0417,0.4385
station-decoupled,8.0782,0.1954,0.9707,0.7958,0.9342,0.1673,0.0417,0.4385
