split,RMSE_mean,RMSE_sd,NASA_mean,NASA_sd,R2_mean,rho_mean
train,7.0375,0.1354,0.7502,0.0276,0.8464,0.9798
dev,7.0103,0.6782,0.8377,0.1205,0.8431,0.9782
test,7.5947,1.6633,1.0282,0.4042,0.7921,0.9772
ds:DS04,12.3651,0.316,1.7136,0.1519,0.5995,0.9083
ds:DS05,10.0597,0.6013,1.1538,0.1196,0.7327,0.9477
ds:DS06,9.4242,0.5437,1.0567,0.0975,0.7643,0.952
ds:DS07,9.8723,0.2888,1.0885,0.0352,0.743,0.9583
