size,dropped,RMSE,RMSE_sd,NASA,R2,rho_RUL,min_leaf_R2,min_leaf_R2_sd,mean_leaf_R2
10,(full set),19.91999045591837,1.4713864830086603,9.034899663696574,-0.24744621183703916,0.7175865536308038,-0.4668784884711556,0.043691620923016254,-0.18357316332407084
9,HPC.hpc_flow,15.727542087609093,1.6781857711734907,4.803799148534153,0.21779784720872644,0.7818993621765259,-0.5335947922312548,0.05516590172240385,-0.10922589857567959
8,HPT.hpt_flow,13.586160265494284,2.5645627797890684,3.3990688174112003,0.40230559746374744,0.7218796139416862,-0.38456058085534917,0.15508853466211042,-0.054150877980379396
7,fan.fan_flow,13.34596419945389,0.3949323328037803,2.8557538917960925,0.4426082336550699,0.7472196538796859,-0.11882996690163898,0.09054580562958117,0.09214389355266651
6,fan.fan_eff,10.922481552057581,0.8662951067653172,2.0206940991660334,0.6246412549985223,0.9077291664248482,0.0035689657235803787,0.015515278138471707,0.20300686807196688
5,LPC.lpc_eff,9.42909027682798,0.5315159846259434,1.3958394649664063,0.7211325048079807,0.9179295234278917,0.14986717288814044,0.04868287120069718,0.2881204180567902
4,LPC.lpc_flow,8.632215385213696,0.21939117646663073,1.1841923559273126,0.766866074599057,0.9319700124488199,0.2407177038863553,0.027246583428100112,0.4157007182701828
3,HPC.hpc_eff,8.71957028956932,0.20862668884325736,1.1562439747214321,0.7621412047007841,0.9348254971562224,0.3666366761289581,0.007266812844532231,0.4541129867479128
2,LPT.lpt_flow,10.547977087390823,0.2878881782767109,1.5561968158752848,0.6518693580630965,0.904072298258475,0.2803711681159646,0.09826097922649903,0.4814753436296668
1,LPT.lpt_eff,15.43564534593041,0.2899604914481275,3.3809287448373233,0.2547820422025826,0.8858298428218854,0.7504191956890439,0.012160231617730133,0.7504191956890439
