size,dropped,RMSE,RMSE_sd,NASA,R2,rho_RUL,min_leaf_R2,min_leaf_R2_sd,mean_leaf_R2
10,(full set),9.530727580724514,0.7418549606891606,1.3735643273354523,0.7142699128317576,0.9058498732977736,0.17384954380329673,0.012146912554072043,0.4404904245346339
9,HPC.hpc_eff,8.851006152212111,0.2819446195828985,1.172187970722419,0.7548080279431136,0.9202966002683347,0.17384954380329673,0.012146912554072043,0.42236452475474534
8,LPC.lpc_eff,8.754131907621245,0.21301494224999595,1.14135904079861,0.7602471695179199,0.921230199642527,0.2436714384217571,0.05488304738589864,0.45342889737367637
7,fan.fan_eff,8.619497306106823,0.1546940958963734,1.1008568048588412,0.7676277626933871,0.9235422094444484,0.2846611721758645,0.031113228905301712,0.4820472844956254
6,LPT.lpt_flow,8.529754621831978,0.13157862138700718,1.0810038401387077,0.7724604430602123,0.9258497421407851,0.2846611721758645,0.031113228905301712,0.4903419952293732
5,HPT.hpt_flow,8.794374159392204,0.21687230290016132,1.1336995054885737,0.7580339651912623,0.9160673792212388,0.2846611721758645,0.031113228905301712,0.4730056716700459
9,HPC.hpc_eff,8.851006152212111,0.2819446195828985,1.172187970722419,0.7548080279431136,0.9202966002683347,0.17384954380329673,0.012146912554072043,0.42236452475474534
9,HPC.hpc_flow,8.92122785811303,0.3332946023940435,1.208517474394756,0.7508071892847367,0.9231145789913047,0.17384954380329673,0.012146912554072043,0.43229099700762014
9,HPT.hpt_eff,10.44368625893441,1.1181020899001357,1.6437711238804926,0.6550646948789273,0.8562942560687828,0.17384954380329673,0.012146912554072043,0.4105066314303474
9,HPT.hpt_flow,9.009837702279466,0.4132375157931375,1.215923119599256,0.7456527393049778,0.9156397746101983,0.17384954380329673,0.012146912554072043,0.4253200702578144
9,LPC.lpc_eff,9.461758268499974,0.6877097335496869,1.3550527417246248,0.7186075354180613,0.9031555448332135,0.2436714384217571,0.05488304738589864,0.470117189060338
9,LPC.lpc_flow,9.466604032035017,0.6120958367305229,1.3397964817648633,0.7186280494158824,0.9043080756176952,0.17384954380329673,0.012146912554072043,0.4445415332208329
9,LPT.lpt_eff,9.460951382926806,0.6733377777058941,1.3542429135371117,0.7187164349961512,0.9015962559191407,0.17384954380329673,0.012146912554072043,0.43924414892019836
9,LPT.lpt_flow,9.455213757073087,0.6899298764461517,1.3463692629047141,0.7189850600381938,0.9036103684651384,0.17384954380329673,0.012146912554072043,0.4414028028059111
9,fan.fan_eff,9.449025643134497,0.6300991047255021,1.3398018417118276,0.7195977599237574,0.9049707236691628,0.17384954380329673,0.012146912554072043,0.46131156198070067
9,fan.fan_flow,9.440125501378851,0.6558895309103209,1.3448910837971146,0.7200197023134258,0.9045077906068141,0.17384954380329673,0.012146912554072043,0.45780478590783047
8,HPT.hpt_eff,10.904108456651775,1.1151940882507634,1.7953250642057672,0.6243530751589613,0.8330454761243145,0.17384954380329673,0.012146912554072043,0.38636702003993695
8,HPT.hpt_flow,9.21259653514081,0.31385422760778026,1.2521502877780233,0.7343264215002107,0.9049689418485984,0.17384954380329673,0.012146912554072043,0.4030321387208373
8,LPC.lpc_eff,8.754131907621245,0.21301494224999595,1.14135904079861,0.7602471695179199,0.921230199642527,0.2436714384217571,0.05488304738589864,0.45342889737367637
8,LPC.lpc_flow,8.804253375125212,0.20808872192903918,1.1520386965375236,0.7575020330999952,0.921166112460519,0.17384954380329673,0.012146912554072043,0.42465628455423315
8,LPT.lpt_eff,8.843464182317469,0.2635191010475898,1.16513882304842,0.7552567085396268,0.9193507596528815,0.17384954380329673,0.012146912554072043,0.41869672721601936
8,LPT.lpt_flow,8.817011017621113,0.27080076727834723,1.1600935691146066,0.7567052418217788,0.9208496459182077,0.17384954380329673,0.012146912554072043,0.4211252128374461
8,fan.fan_eff,8.807313129018901,0.23087178131962044,1.1561794442027795,0.7573022773603771,0.9206598797936089,0.17384954380329673,0.012146912554072043,0.44352256690908437
8,fan.fan_flow,8.784129234868812,0.21827288844722142,1.1435532584372652,0.7585951409980184,0.9211475641163757,0.17384954380329673,0.012146912554072043,0.4395774438271054
7,HPT.hpt_eff,10.439852675814564,0.9738587523918761,1.6315471463170141,0.6562584851175833,0.8474215039900316,0.2436714384217571,0.05488304738589864,0.4167266595023141
